postcode,gemeente,lat,lon
1011AB,Amsterdam,52.3786674,4.90544356
1011AC,Amsterdam,52.37764209,4.90669566
1011AD,Amsterdam,52.37695726,4.90440866
1011AE,Amsterdam,52.3757589,4.90629586
1011AG,Amsterdam,52.37594525,4.90273427
1011AH,Amsterdam,52.37575742,4.9029566
1011AJ,Amsterdam,52.37553238,4.90287094
1011AK,Amsterdam,52.37464671,4.9038792
1011AL,Amsterdam,52.36883275,4.90194564
1011AM,Amsterdam,52.3742188,4.90473559
1011AN,Amsterdam,52.37407221,4.90499524
1011AP,Amsterdam,52.3739421,4.90520852
1011AR,Amsterdam,52.37379938,4.90547439
1011AS,Amsterdam,52.37349608,4.90603571
1011AT,Amsterdam,52.37335324,4.90627221
1011AV,Amsterdam,52.37315701,4.90664145
1011AW,Amsterdam,52.37300536,4.9069221
1011AX,Amsterdam,52.37412826,4.90457504
1011AZ,Amsterdam,52.37349608,4.90603571
1011BA,Amsterdam,52.37355786,4.90575603
1011BB,Amsterdam,52.373404,4.90549337
1011BC,Amsterdam,52.37288043,4.90714372
1011BD,Amsterdam,52.37268985,4.90669057
1011BG,Amsterdam,52.37490856,4.90362281
1011BH,Amsterdam,52.37374049,4.9042562
1011BJ,Amsterdam,52.37349047,4.9046554
1011BK,Amsterdam,52.37312757,4.90489693
1011BL,Amsterdam,52.37313378,4.90534946
1011BM,Amsterdam,52.37304457,4.90551196
1011BN,Amsterdam,52.37292845,4.90568943
1011BP,Amsterdam,52.37281251,4.90591096
1011BR,Amsterdam,52.37266973,4.90616214
1011BS,Amsterdam,52.37523112,4.90304253
1011BT,Amsterdam,52.37477642,4.90262955
1011BV,Amsterdam,52.37437121,4.90244307
1011BW,Amsterdam,52.37396768,4.90266776
1011BX,Amsterdam,52.37345533,4.9033444
1011BZ,Amsterdam,52.37323349,4.90335127
1011CA,Amsterdam,52.37316415,4.90387327
1011CB,Amsterdam,52.37286313,4.90443314
1011CC,Amsterdam,52.37254638,4.90456288
1011CD,Amsterdam,52.37236795,4.90488788
1011CE,Amsterdam,52.37222517,4.90513907
1011CH,Amsterdam,52.37398253,4.90190398
1011CJ,Amsterdam,52.37376008,4.90244975
1011CK,Amsterdam,52.37391884,4.90171378
1011CL,Amsterdam,52.37376792,4.90217066
1011CM,Amsterdam,52.37360971,4.90206635
1011CN,Amsterdam,52.37357798,4.90187904
1011CP,Amsterdam,52.37354904,4.90178292
1011CR,Amsterdam,52.37339697,4.90157264
1011CS,Amsterdam,52.37296883,4.90237029
1011CT,Amsterdam,52.37271,4.90281366
1011CV,Amsterdam,52.37254937,4.90309441
1011CW,Amsterdam,52.3722906,4.90355245
1011CX,Amsterdam,52.37213009,4.90386257
1011CZ,Amsterdam,52.37196047,4.90414342
1011DB,Amsterdam,52.37339262,4.90270341
1011DC,Amsterdam,52.37155223,4.90102016
1011DD,Amsterdam,52.3760702,4.90684136
1011DE,Amsterdam,52.37561422,4.90943506
1011DG,Amsterdam,52.37590373,4.90799213
1011DH,Amsterdam,52.37629215,4.90847256
1011DJ,Amsterdam,52.37664919,4.90564904
1011DK,Amsterdam,52.37692331,4.90454463
1011DL,Amsterdam,52.37625293,4.90610018
1011DZ,Amsterdam,52.37179657,4.90142864
1011EA,Amsterdam,52.37316264,4.90141368
1011EB,Amsterdam,52.37267195,4.90230012
1011EC,Amsterdam,52.37234182,4.9028911
1011ED,Amsterdam,52.37176161,4.90386659
1011EE,Amsterdam,52.3726885,4.90415017
1011EG,Amsterdam,52.37274165,4.90387105
1011EH,Amsterdam,52.37594525,4.90273427
1011EJ,Amsterdam,52.37539739,4.90282836
1011EK,Amsterdam,52.37511638,4.90224402
1011EL,Amsterdam,52.37451488,4.90193801
1011EM,Amsterdam,52.37395455,4.90165465
1011EN,Amsterdam,52.37319805,4.90128113
1011ER,Amsterdam,52.37422567,4.9020188
1011ES,Amsterdam,52.37279338,4.90122682
1011ET,Amsterdam,52.37251694,4.90175849
1011EV,Amsterdam,52.37265827,4.90115488
1011EW,Amsterdam,52.37249668,4.9012007
1011EX,Amsterdam,52.37192793,4.90277814
1011EZ,Amsterdam,52.37159786,4.90338379
1011GA,Amsterdam,52.37186454,4.90266136
1011GB,Amsterdam,52.37177012,4.90374902
1011GC,Amsterdam,52.37178719,4.90352857
1011GD,Amsterdam,52.37231603,4.90098242
1011GG,Amsterdam,52.37147193,4.90248683
1011GH,Amsterdam,52.37131559,4.90249115
1011GJ,Amsterdam,52.37156976,4.9031051
1011GK,Amsterdam,52.37124068,4.90175777
1011GL,Amsterdam,52.37169632,4.901092
1011GM,Amsterdam,52.37087269,4.90187927
1011GN,Amsterdam,52.37280447,4.90174066
1011GP,Amsterdam,52.37222475,4.90283364
1011GR,Amsterdam,52.37205369,4.90276209
1011GS,Amsterdam,52.37136023,4.90241724
1011GT,Amsterdam,52.37091732,4.90180536
1011GV,Amsterdam,52.37246614,4.90252263
1011GW,Amsterdam,52.37201588,4.90230729
1011GX,Amsterdam,52.37148448,4.9020341
1011GZ,Amsterdam,52.37071791,4.9013964
1011HA,Amsterdam,52.37057171,4.90081065
1011HB,Amsterdam,52.37189187,4.90056123
1011HC,Amsterdam,52.37096014,4.89910306
1011HD,Amsterdam,52.37077455,4.89986866
1011HE,Amsterdam,52.37079873,4.89919294
1011HG,Amsterdam,52.37063069,4.89985556
1011HH,Amsterdam,52.37065351,4.89903993
1011HJ,Amsterdam,52.37035617,4.8986692
1011HK,Amsterdam,52.37024814,4.89862634
1011HL,Amsterdam,52.37014223,4.89909738
1011HM,Amsterdam,52.37059462,4.89982659
1011HN,Amsterdam,52.37004428,4.89931871
